Date,Issue code,Issue name,Quantity Net short position,Quantity No.of listed shares,Amount Net short position,Amount Market cap,Proportion
2023-08-01,049960,CBT,"9,240","9,400,000","104,504,400","106,314,000,000",0.10
2023-08-01,066790,CCS,0,"56,025,056",0,"29,133,029,120",0.00
2023-08-01,049180,CELLUMED,0,"42,804,725",0,"159,233,577,000",0.00
2023-08-01,037760,CENIT,0,"33,832,921",0,"53,591,346,864",0.00
2023-08-01,222420,CENOTEC,0,"45,460,231",0,"86,101,677,514",0.00
2023-08-01,085660,CHA Biotech,"959,563","56,268,318","12,244,023,880","717,983,737,680",1.71
2023-08-01,261780,CHA Vaccine,0,"26,676,162",0,"126,978,531,120",0.00
2023-08-01,052670,CHEIL BIO,0,"29,129,064",0,"60,588,453,120",0.00
2023-08-01,199820,CHEIL ELECTRIC,0,"11,110,000",0,"138,208,400,000",0.00
2023-08-01,089010,CHEMTRON,"32,000","15,167,680","792,000,000","375,400,080,000",0.21
2023-08-01,052300,CHOROKBAEM COMPANY,0,"118,651,430",0,"41,646,651,930",0.00
2023-08-01,047820,CHOROKBAEM MEDIA,"29,724","21,712,702","160,509,600","117,248,590,800",0.14
2023-08-01,362320,CHUNGDAMGLOBAL,0,"20,551,290",0,"142,420,439,700",0.00
2023-08-01,222080,CIS,"4,001,695","67,223,957","48,420,509,500","813,409,879,700",5.95
2023-08-01,311690,CJ Bioscience,0,"5,878,672",0,"112,282,635,200",0.00
2023-08-01,035760,CJ ENM,"140,736","21,929,154","9,246,355,200","1,440,745,417,800",0.64
2023-08-01,051500,CJ FW,"5,589","11,871,586","142,240,050","302,131,863,700",0.05
2023-08-01,900120,CKH,0,"197,716,999",0,"27,284,945,862",0.00
2023-08-01,214150,CLASSYS,"69,031","64,776,702","2,043,317,600","1,917,390,379,200",0.11
2023-08-01,237880,CLIO Cosmetics,0,"18,071,353",0,"329,982,905,780",0.00
2023-08-01,263700,CLS,0,"19,414,200",0,"105,419,106,000",0.00
2023-08-01,058820,CMG Pharmaceutical,"551,495","138,892,244","1,348,405,275","339,591,536,580",0.40
2023-08-01,023460,CNH,0,"37,200,000",0,"77,004,000,000",0.00
2023-08-01,115530,CNPLUS,0,"67,963,000",0,"30,311,498,000",0.00
2023-08-01,056730,CNT85,0,"43,539,456",0,"60,519,843,840",0.00
2023-08-01,352700,CNTUS,0,"27,276,899",0,"98,060,451,905",0.00
2023-08-01,078940,CODENATURE,0,"45,609,680",0,"148,687,556,800",0.00
2023-08-01,036690,COMMAX,0,"15,904,938",0,"49,941,505,320",0.00
2023-08-01,307930,COMPANY K PARTNERS,0,"15,610,000",0,"118,167,700,000",0.00
2023-08-01,322780,COPUS KOREA,0,"37,932,613",0,"99,004,119,930",0.00
2023-08-01,027050,COREANA,"168,065","40,000,000","423,523,800","100,800,000,000",0.42
2023-08-01,166480,CORESTEMCHEMON,0,"32,870,376",0,"233,379,669,600",0.00
2023-08-01,222040,COSMAX NBT,"31,117","20,628,000","161,808,400","107,265,600,000",0.15
2023-08-01,241710,COSMECCA KOREA,0,"10,680,000",0,"292,098,000,000",0.00
2023-08-01,069110,COSON,0,"23,940,660",0,"62,963,935,800",0.00
2023-08-01,056360,COWEAVER,"28,640","9,796,800","179,859,200","61,523,904,000",0.29
2023-08-01,033290,COWELL F/S,"923,120","88,500,234","4,070,959,200","390,286,031,940",1.04
2023-08-01,282880,COWIN,0,"10,033,718",0,"361,213,848,000",0.00
2023-08-01,101240,CQV,0,"10,138,184",0,"59,815,285,600",0.00
2023-08-01,065770,CS,0,"19,411,130",0,"28,282,016,410",0.00
2023-08-01,297090,CS BEARING,0,"27,270,000",0,"350,419,500,000",0.00
2023-08-01,083660,CSA Cosmic,0,"61,247,181",0,"76,558,976,250",0.00
2023-08-01,060590,CTC BIO,"51,445","24,181,020","487,184,150","228,994,259,400",0.21
2023-08-01,260930,CTK,0,"19,341,591",0,"120,884,943,750",0.00
2023-08-01,071850,CTK,0,"16,569,188",0,"34,795,294,800",0.00
2023-08-01,139050,CTLS,0,"7,862,472",0,"39,941,357,760",0.00
2023-08-01,115480,CU MEDICAL,0,"48,224,558",0,"55,651,139,932",0.00
2023-08-01,376290,CU TECH,0,"17,657,500",0,"71,336,300,000",0.00
2023-08-01,182360,CUBEENT,"11,286","13,804,687","246,034,800","300,942,176,600",0.08
2023-08-01,021650,CUBIC KOREA,0,"16,350,563",0,"47,334,879,885",0.00
2023-08-01,340810,CUBOX,0,"10,347,861",0,"108,445,583,280",0.00
2023-08-01,060280,CUREXO,0,"40,955,990",0,"700,756,988,900",0.00
2023-08-01,040350,CUROCOM,"248,532","125,973,472","121,283,616","61,475,054,336",0.20
2023-08-01,051780,CUROHOLDINGS,0,"124,422,450",0,"49,022,445,300",0.00
2023-08-01,160980,CYMECHS,"13,292","10,924,243","196,455,760","161,460,311,540",0.12
2023-08-01,042000,Cafe24 Corp.,"44,413","22,497,198","567,598,140","287,514,190,440",0.20
2023-08-01,050110,CammSys,0,"73,824,118",0,"109,628,815,230",0.00
2023-08-01,214370,Caregen,"63,490","10,743,000","13,713,840,000","2,320,488,000,000",0.59
2023-08-01,016920,Cas,0,"26,493,538",0,"39,077,968,550",0.00
2023-08-01,308100,Castelbajac,0,"6,624,733",0,"40,145,881,980",0.00
2023-08-01,331920,Celemics,0,"8,164,148",0,"37,106,052,660",0.00
2023-08-01,318160,Cell Bio Human Tech,0,"8,931,889",0,"41,979,878,300",0.00
2023-08-01,068940,Cellfie Global,0,"38,260,597",0,"29,766,744,466",0.00
